Tracking Domain,Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,biggy-event-queue," a queue system named ""biggy"" used for handling events.",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",session
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,biggy-session-tccommercear," to indicate a session related to a component called ""biggy"" and a specific service or module, possibly ""tccommercear.""",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",0
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,com.adobe.alloy.getTld,Adobe Analytics Cookies,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,coveo_visitorId,This tag is used to track and identify individual visitors or users interacting with a website or application that has integrated Coveo's search capabilities.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,FPID,"This HTTP cookie is named FPID
 (First Party Identifier) and stores
 a value used for setting the Client
 ID in the request to Google",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,FPLC,"The FPID cookie is used
 for in server-side
 tagging for Google Tag
 Manager",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",0
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,internalUserCheck,"verify user identity, enforce access control, maintain security",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",0
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,li_cm_prefs_session,store and manage user preferences and settings throughout a browsing session,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",89
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,mbox,"This cookie is used to collect non-personal information on the visitor's behavior and non-personal visitor statistics, which can be used by a third-party ad-targeting agency.",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",session
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,mboxEdgeCluster,Enabling visitors to access the same edge server across the entire session,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",0
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,notice_behavior,This is a functionality cookie used to store a visitorï¿½s cookie preferences,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,s_cc,Used to check if the user's browser supports cookies.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,s_cm,"track website and app performance, user behavior, and marketing effectiveness",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,s_cm_direct,most common use is Direct Traffic Tracking,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",0
