Tracking Domain,Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,test,This cookie is set by DoubleClick (owned by Google) to determine if the website visitorï¿½s browser supports cookies.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,TEST_AMCV_COOKIE,Registers statistical data on users' behaviour on the website. Used for internal analytics by the website operator.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,TEST_AMCV_COOKIE_WRITE,Determines whether the user has accepted the cookie consent box.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,zScalerUser,user authentication or identification parameter associated with the Zscaler security platform,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,Local Storage,blank (local storage),"The cookie enables the display and interactive presentation of user-generated content, fostering transparency, trust, and an enhanced user experience on the website.",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,JavaScript,blank (java),Javascript is used to download functionality from the vendor on the browser.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,ARRAffinity,is used to control the effective loading of the website and to ensure that all user requests are directed to the same server in any browsing session.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,ARRAffinitySameSite,This cookie is set by websites run on the Windows Azure cloud platform. It is used for load balancing to make sure the visitor page requests are routed to the same server in any browsing session.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,eddl_gtm_qe_session_start_6523424625,to track session start events within the context of a website or application that uses both Google Tag Manager and Adobe Experience Platform Data Collection,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,fl_qualified_entry,"track and analyze user interactions, engagement metrics",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyle_userid,This cookie is set by the provider Medallia. This cookie is used for storing a user ID.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyleSessionPageCounter,This cookie is set by the provider Medallia. This cookie is used for counting the number of pages a user views within a single sessions.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyleUserSession,This cookie is set by the provider Medallia. This cookie is used for setting an unique ID for the specific session.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyleUserSessionsCount,This cookie is set by the provider Medallia. This cookie is used for counting the number of sessions per user.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,mdLogger,This cookie enables console login for debugging purposes.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.abonnementen.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,RT,Part of Akamai's Boomerang product which is used to measure page load times experienced by the visitors.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,Local Storage,blank (local storage),"The cookie enables the display and interactive presentation of user-generated content, fostering transparency, trust, and an enhanced user experience on the website.",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,JavaScript,blank (java),Javascript is used to download functionality from the vendor on the browser.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,ETag,blank (etag),Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,country_currency_rememberme_cookie, Stores the selected country and currency preferences.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,eddl_gtm_qe_session_start_6523424625,to track session start events within the context of a website or application that uses both Google Tag Manager and Adobe Experience Platform Data Collection,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,isBrowserPopUp, Tracks whether a browser popup is active.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,JSESSIONID,This cookie is used to distinguish between different sessions of the Cookie Consent Manager.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyle_userid,This cookie is set by the provider Medallia. This cookie is used for storing a user ID.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyleSessionPageCounter,This cookie is set by the provider Medallia. This cookie is used for counting the number of pages a user views within a single sessions.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyleUserSession,This cookie is set by the provider Medallia. This cookie is used for setting an unique ID for the specific session.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,kampyleUserSessionsCount,This cookie is set by the provider Medallia. This cookie is used for counting the number of sessions per user.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,mdLogger,This cookie enables console login for debugging purposes.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,pcms-CLIENT_X-nl-cart, Tracks cart status for CLIENT_X Netherlands.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,ROUTE,tracking or analytics system to monitor user navigation paths and interactions on the website,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.healthcare.shop.CLIENT_X.nl,Essential cookies (exempt from consent),CLIENT_X - Netherlands,HTTP Cookie,RT,Part of Akamai's Boomerang product which is used to measure page load times experienced by the visitors.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.lighting.CLIENT_X.nl,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),Local Storage,blank (local storage),"The cookie enables the display and interactive presentation of user-generated content, fostering transparency, trust, and an enhanced user experience on the website.",FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.nl,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),JavaScript,blank (java),Javascript is used to download functionality from the vendor on the browser.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.nl,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),ETag,blank (etag),Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.nl,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,AWSELB,To provide load balancing functionality.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",0
www.lighting.CLIENT_X.nl,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,AWSELBCORS,"Registers which server-cluster is serving the visitor. This is used in context with load balancing, in order to optimize user experience.",FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",0
www.lighting.CLIENT_X.nl,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,customer_country,to capture and track the country associated with a website visitor or customer,TrustArc,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
